rel_path,video_id,model_type,condition,prediction,ground_truth,VT,AT,IM,n_faces,n_seg
test/000000.mp4,000000,vgg19,clean,fake,real,0.6153846153846154,0.5625,0.8823529411764706,14,17
test/000000.mp4,000000,vgg19,jpeg_10,fake,real,0.75,0.5625,0.8235294117647058,13,17
test/000000.mp4,000000,vgg19,jpeg_20,fake,real,0.5384615384615384,0.5625,0.8235294117647058,14,17
test/000000.mp4,000000,vgg19,jpeg_30,fake,real,0.5833333333333334,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,jpeg_40,fake,real,0.6923076923076923,0.5625,0.8823529411764706,14,17
test/000000.mp4,000000,vgg19,jpeg_50,fake,real,0.6666666666666666,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,jpeg_60,fake,real,0.5833333333333334,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,jpeg_70,fake,real,0.5833333333333334,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,jpeg_80,fake,real,0.6666666666666666,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,jpeg_90,fake,real,0.6923076923076923,0.5625,0.8823529411764706,14,17
test/000000.mp4,000000,vgg19,jpeg_95,fake,real,0.5,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,h264_18_keepaudio,fake,real,0.5,0.5625,0.8823529411764706,13,17
test/000000.mp4,000000,vgg19,h264_23_keepaudio,fake,real,0.5833333333333334,0.5625,0.8235294117647058,13,17
test/000000.mp4,000000,vgg19,h264_28_keepaudio,fake,real,0.5384615384615384,0.5625,0.8823529411764706,14,17
test/000000.mp4,000000,vgg19,h264_33_keepaudio,fake,real,0.75,0.5625,0.8235294117647058,13,17
test/000000.mp4,000000,vgg19,h264_38_keepaudio,fake,real,0.16666666666666666,0.5625,0.8235294117647058,13,17
test/000000.mp4,000000,vgg19,h264_43_keepaudio,fake,real,0.16666666666666666,0.5625,0.8235294117647058,13,17
test/000001.mp4,000001,vgg19,clean,fake,real,0.6666666666666666,0.21428571428571427,0.6666666666666666,13,15
test/000001.mp4,000001,vgg19,jpeg_10,fake,real,0.3333333333333333,0.21428571428571427,0.8666666666666667,10,15
test/000001.mp4,000001,vgg19,jpeg_20,fake,real,0.3333333333333333,0.21428571428571427,0.6666666666666666,13,15
test/000001.mp4,000001,vgg19,jpeg_30,fake,real,0.3333333333333333,0.21428571428571427,0.6,13,15
test/000001.mp4,000001,vgg19,jpeg_40,fake,real,0.3333333333333333,0.21428571428571427,0.6666666666666666,13,15
test/000001.mp4,000001,vgg19,jpeg_50,fake,real,0.4166666666666667,0.21428571428571427,0.8,13,15
test/000001.mp4,000001,vgg19,jpeg_60,fake,real,0.5833333333333334,0.21428571428571427,0.6666666666666666,13,15
test/000001.mp4,000001,vgg19,jpeg_70,fake,real,0.4166666666666667,0.21428571428571427,0.7333333333333333,13,15
test/000001.mp4,000001,vgg19,jpeg_80,fake,real,0.5833333333333334,0.21428571428571427,0.7333333333333333,13,15
test/000001.mp4,000001,vgg19,jpeg_90,fake,real,0.5833333333333334,0.21428571428571427,0.8,13,15
test/000001.mp4,000001,vgg19,jpeg_95,fake,real,0.5,0.21428571428571427,0.6666666666666666,13,15
test/000001.mp4,000001,vgg19,h264_18_keepaudio,fake,real,0.5833333333333334,0.21428571428571427,0.8666666666666667,13,15
test/000001.mp4,000001,vgg19,h264_23_keepaudio,fake,real,0.16666666666666666,0.21428571428571427,0.7333333333333333,13,15
test/000001.mp4,000001,vgg19,h264_28_keepaudio,fake,real,0.09090909090909091,0.21428571428571427,0.6666666666666666,12,15
test/000001.mp4,000001,vgg19,h264_33_keepaudio,fake,real,0.09090909090909091,0.21428571428571427,0.8,12,15
test/000001.mp4,000001,vgg19,h264_38_keepaudio,fake,real,0.08333333333333333,0.21428571428571427,0.7333333333333333,13,15
test/000001.mp4,000001,vgg19,h264_43_keepaudio,fake,real,0.16666666666666666,0.21428571428571427,0.8666666666666667,13,15
test/000002.mp4,000002,vgg19,clean,fake,fake,0.35714285714285715,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_10,fake,fake,0.5,0.375,0.7647058823529411,13,17
test/000002.mp4,000002,vgg19,jpeg_20,fake,fake,0.2857142857142857,0.375,0.6470588235294118,15,17
test/000002.mp4,000002,vgg19,jpeg_30,fake,fake,0.42857142857142855,0.375,0.6470588235294118,15,17
test/000002.mp4,000002,vgg19,jpeg_40,fake,fake,0.5714285714285714,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_50,fake,fake,0.42857142857142855,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_60,fake,fake,0.5714285714285714,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_70,fake,fake,0.35714285714285715,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_80,fake,fake,0.42857142857142855,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_90,fake,fake,0.5,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,jpeg_95,fake,fake,0.2857142857142857,0.375,0.6470588235294118,15,17
test/000002.mp4,000002,vgg19,h264_18_keepaudio,fake,fake,0.38461538461538464,0.375,0.7647058823529411,14,17
test/000002.mp4,000002,vgg19,h264_23_keepaudio,fake,fake,0.42857142857142855,0.375,0.7647058823529411,15,17
test/000002.mp4,000002,vgg19,h264_28_keepaudio,fake,fake,0.21428571428571427,0.375,0.6470588235294118,15,17
test/000002.mp4,000002,vgg19,h264_33_keepaudio,fake,fake,0.35714285714285715,0.375,0.5882352941176471,15,17
test/000002.mp4,000002,vgg19,h264_38_keepaudio,fake,fake,0.07142857142857142,0.375,0.8235294117647058,15,17
test/000002.mp4,000002,vgg19,h264_43_keepaudio,fake,fake,0.07142857142857142,0.375,0.8235294117647058,15,17
test/000003.mp4,000003,vgg19,clean,fake,fake,0.4166666666666667,0.26666666666666666,0.8125,13,16
test/000003.mp4,000003,vgg19,jpeg_10,fake,fake,0.6363636363636364,0.26666666666666666,0.75,12,16
test/000003.mp4,000003,vgg19,jpeg_20,fake,fake,0.4166666666666667,0.26666666666666666,0.6875,13,16
test/000003.mp4,000003,vgg19,jpeg_30,fake,fake,0.5384615384615384,0.26666666666666666,0.6875,14,16
test/000003.mp4,000003,vgg19,jpeg_40,fake,fake,0.5384615384615384,0.26666666666666666,0.8125,14,16
test/000003.mp4,000003,vgg19,jpeg_50,fake,fake,0.46153846153846156,0.26666666666666666,0.8125,14,16
test/000003.mp4,000003,vgg19,jpeg_60,fake,fake,0.38461538461538464,0.26666666666666666,0.6875,14,16
test/000003.mp4,000003,vgg19,jpeg_70,fake,fake,0.16666666666666666,0.26666666666666666,0.8125,13,16
test/000003.mp4,000003,vgg19,jpeg_80,fake,fake,0.4166666666666667,0.26666666666666666,0.8125,13,16
test/000003.mp4,000003,vgg19,jpeg_90,fake,fake,0.4166666666666667,0.26666666666666666,0.8125,13,16
test/000003.mp4,000003,vgg19,jpeg_95,fake,fake,0.3333333333333333,0.26666666666666666,0.8125,13,16
test/000003.mp4,000003,vgg19,h264_18_keepaudio,fake,fake,0.3333333333333333,0.26666666666666666,0.8125,13,16
test/000003.mp4,000003,vgg19,h264_23_keepaudio,fake,fake,0.38461538461538464,0.26666666666666666,0.6875,14,16
test/000003.mp4,000003,vgg19,h264_28_keepaudio,fake,fake,0.23076923076923078,0.26666666666666666,0.6875,14,16
test/000003.mp4,000003,vgg19,h264_33_keepaudio,fake,fake,0.16666666666666666,0.26666666666666666,0.6875,13,16
test/000003.mp4,000003,vgg19,h264_38_keepaudio,fake,fake,0.3076923076923077,0.26666666666666666,0.6875,14,16
test/000003.mp4,000003,vgg19,h264_43_keepaudio,fake,fake,0.3076923076923077,0.26666666666666666,0.75,14,16
test/000004.mp4,000004,vgg19,clean,fake,fake,0.35714285714285715,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_10,fake,fake,0.3076923076923077,0.25,0.7647058823529411,14,17
test/000004.mp4,000004,vgg19,jpeg_20,fake,fake,0.42857142857142855,0.25,0.7058823529411765,15,17
test/000004.mp4,000004,vgg19,jpeg_30,fake,fake,0.2857142857142857,0.25,0.6470588235294118,15,17
test/000004.mp4,000004,vgg19,jpeg_40,fake,fake,0.35714285714285715,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_50,fake,fake,0.35714285714285715,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_60,fake,fake,0.5714285714285714,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_70,fake,fake,0.35714285714285715,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_80,fake,fake,0.35714285714285715,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_90,fake,fake,0.35714285714285715,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,jpeg_95,fake,fake,0.5714285714285714,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,h264_18_keepaudio,fake,fake,0.5,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,h264_23_keepaudio,fake,fake,0.2857142857142857,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,h264_28_keepaudio,fake,fake,0.2857142857142857,0.25,0.7647058823529411,15,17
test/000004.mp4,000004,vgg19,h264_33_keepaudio,fake,fake,0.07142857142857142,0.25,0.6470588235294118,15,17
test/000004.mp4,000004,vgg19,h264_38_keepaudio,fake,fake,0.23076923076923078,0.25,0.7647058823529411,14,17
test/000004.mp4,000004,vgg19,h264_43_keepaudio,fake,fake,0.14285714285714285,0.25,0.8235294117647058,15,17
test/000005.mp4,000005,vgg19,clean,fake,real,0.6976744186046512,0.8490566037735849,0.7777777777777778,44,54
test/000005.mp4,000005,vgg19,jpeg_10,fake,real,0.6046511627906976,0.8490566037735849,0.8333333333333334,44,54
test/000005.mp4,000005,vgg19,jpeg_20,fake,real,0.6976744186046512,0.8490566037735849,0.8333333333333334,44,54
test/000005.mp4,000005,vgg19,jpeg_30,fake,real,0.7441860465116279,0.8490566037735849,0.7962962962962963,44,54
test/000005.mp4,000005,vgg19,jpeg_40,fake,real,0.7906976744186046,0.8490566037735849,0.7962962962962963,44,54
test/000005.mp4,000005,vgg19,jpeg_50,fake,real,0.7674418604651163,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,jpeg_60,fake,real,0.813953488372093,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,jpeg_70,fake,real,0.8372093023255814,0.8490566037735849,0.8333333333333334,44,54
test/000005.mp4,000005,vgg19,jpeg_80,fake,real,0.6976744186046512,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,jpeg_90,fake,real,0.7209302325581395,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,jpeg_95,fake,real,0.7441860465116279,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,h264_18_keepaudio,fake,real,0.7674418604651163,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,h264_23_keepaudio,fake,real,0.7674418604651163,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,h264_28_keepaudio,fake,real,0.8372093023255814,0.8490566037735849,0.7407407407407407,44,54
test/000005.mp4,000005,vgg19,h264_33_keepaudio,fake,real,0.7906976744186046,0.8490566037735849,0.8148148148148148,44,54
test/000005.mp4,000005,vgg19,h264_38_keepaudio,fake,real,0.6976744186046512,0.8490566037735849,0.7407407407407407,44,54
test/000005.mp4,000005,vgg19,h264_43_keepaudio,fake,real,0.6976744186046512,0.8490566037735849,0.6481481481481481,44,54
test/000006.mp4,000006,vgg19,clean,fake,fake,0.7619047619047619,0.8076923076923077,0.8301886792452831,43,53
test/000006.mp4,000006,vgg19,jpeg_10,fake,fake,0.5952380952380952,0.8076923076923077,0.8679245283018868,43,53
test/000006.mp4,000006,vgg19,jpeg_20,fake,fake,0.7619047619047619,0.8076923076923077,0.8490566037735849,43,53
test/000006.mp4,000006,vgg19,jpeg_30,fake,fake,0.7380952380952381,0.8076923076923077,0.7924528301886793,43,53
