rel_path,video_id,model_type,condition,ground_truth,ok,n_faces,n_seg,prediction,VT,AT,IM,fer_conf,fer_entropy,ser_conf,ser_entropy
test/000000.mp4,000000,vgg19,clean,real,True,14,17,fake,0.6153846153846154,0.5625,0.8823529411764706,0.7427427130086082,0.5919399196371395,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_10,real,True,13,17,fake,0.75,0.5625,0.8235294117647058,0.7381768501721896,0.618229776922182,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_20,real,True,14,17,fake,0.5384615384615384,0.5625,0.8235294117647058,0.790673920086452,0.5014674825904942,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_30,real,True,13,17,fake,0.5833333333333334,0.5625,0.8823529411764706,0.7789645699354318,0.5199335694169629,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_40,real,True,14,17,fake,0.6923076923076923,0.5625,0.8823529411764706,0.7227826224906104,0.6068764237167571,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_50,real,True,13,17,fake,0.6666666666666666,0.5625,0.8823529411764706,0.7755458309100225,0.5213855260534449,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_60,real,True,13,17,fake,0.5833333333333334,0.5625,0.8823529411764706,0.7742236783871284,0.526241170156525,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_70,real,True,13,17,fake,0.5833333333333334,0.5625,0.8823529411764706,0.7760643500548142,0.5435374139550514,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_80,real,True,13,17,fake,0.6666666666666666,0.5625,0.8823529411764706,0.7641715223972614,0.5480395792649916,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,vgg19,jpeg_90,real,True,14,17,fake,0.6923076923076923,0.5625,0.8823529411764706,0.7806766671793801,0.5338044549655956,0.864629806841121,0.3334303962454916
