rel_path,video_id,model_type,condition,ground_truth,ok,n_faces,n_seg,prediction,VT,AT,IM,fer_conf,fer_entropy,ser_conf,ser_entropy
test/000000.mp4,000000,resnet50,clean,real,True,14,17,fake,0.6153846153846154,0.5625,0.7058823529411765,0.5784894866602761,1.2496170106386646,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_10,real,True,13,17,fake,0.6666666666666666,0.5625,0.5882352941176471,0.6801577829397641,0.9301375084098455,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_20,real,True,14,17,fake,0.7692307692307693,0.5625,0.7058823529411765,0.5326485059091023,1.2368958456004677,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_30,real,True,13,17,fake,0.6666666666666666,0.5625,0.5882352941176471,0.5457482039928436,1.2727821036456035,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_40,real,True,14,17,fake,0.6153846153846154,0.5625,0.6470588235294118,0.5823970181601388,1.1979793081009642,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_50,real,True,13,17,fake,0.6666666666666666,0.5625,0.6470588235294118,0.5321711943699763,1.3089709922148507,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_60,real,True,13,17,fake,0.5833333333333334,0.5625,0.5882352941176471,0.5292780766120324,1.3203537762982203,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_70,real,True,13,17,fake,0.5,0.5625,0.6470588235294118,0.5357403732263125,1.302958355781655,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_80,real,True,13,17,fake,0.75,0.5625,0.7058823529411765,0.5836973282007071,1.2375379061115372,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_90,real,True,14,17,fake,0.7692307692307693,0.5625,0.7058823529411765,0.5873835278408868,1.1911312279226103,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,jpeg_95,real,True,13,17,fake,0.5833333333333334,0.5625,0.5882352941176471,0.5756391676572653,1.260312656309302,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,h264_18_keepaudio,real,True,13,17,fake,0.6666666666666666,0.5625,0.7058823529411765,0.5022816291222205,1.3574242047543374,0.864629806841121,0.3334303962454916
test/000000.mp4,000000,resnet50,h264_23_keepaudio,real,True,13,17,fake,0.5,0.5625,0.6470588235294118,0.5196334811357352,1.3287059558393561,0.864629806841121,0.3334303962454916
